"","state","fips2","tvote","vep","vepnov","turnoutvep","sc_fips"
"1","10",1001,24973,40797.2734375,40956.11328125,0.609750270843506,"1001"
"2","10",1003,95215,157461.765625,159034.671875,0.598705947399139,"1003"
"3","10",1005,10469,17038.357421875,16981.828125,0.616482496261597,"1005"
"4","10",1007,8819,15864.4140625,15887.4228515625,0.555093169212341,"1007"
"5","10",1009,25588,43008.5703125,43145.44921875,0.593063712120056,"1009"
"6","10",1011,4710,7111.828125,7082.00146484375,0.665066242218018,"1011"
"7","10",1013,8732,14886.4482421875,14857.2177734375,0.587727785110474,"1013"
"8","10",1015,47864,85940.1015625,85728.734375,0.558319211006165,"1015"
"9","10",1017,13900,25806.48046875,25755.669921875,0.539686977863312,"1017"
"10","10",1019,10733,20230.46875,20245.623046875,0.530139267444611,"1019"
"11","10",1021,18369,30152.66796875,30044.29296875,0.611397325992584,"1021"
"12","10",1023,7292,10088.234375,10039.8349609375,0.726306736469269,"1023"
"13","10",1025,13031,18518.001953125,18446.095703125,0.70643675327301,"1025"
"14","10",1027,6624,10176.4296875,10194.6884765625,0.649750113487244,"1027"
"15","10",1029,6593,11168.5498046875,11142.783203125,0.591683387756348,"1029"
"16","10",1031,20767,36938.40234375,36956.5859375,0.5619295835495,"1031"
"17","10",1033,24915,41395.2578125,41392.08984375,0.601926624774933,"1033"
"18","10",1035,6585,9499.2783203125,9456.6328125,0.696336627006531,"1035"
"19","10",1037,5252,8261.9677734375,8246.6201171875,0.636866986751556,"1037"
"20","10",1039,15940,28508.107421875,28448.009765625,0.560320377349854,"1039"
"21","10",1041,6267,10314.53515625,10305.169921875,0.608141362667084,"1041"
"22","10",1043,37873,61454.1484375,61577.25,0.615048587322235,"1043"
"23","10",1045,18749,36699.26953125,36703.140625,0.510828197002411,"1045"
"24","10",1047,18792,29214.951171875,29028.080078125,0.647373139858246,"1047"
"25","10",1049,25826,48344.328125,48160.453125,0.536249101161957,"1049"
"26","10",1051,37260,57896.3671875,58136.41796875,0.64090633392334,"1051"
"27","10",1053,14845,26451.23046875,26422.419921875,0.561833500862122,"1053"
"28","10",1055,44164,76841.7890625,76738.3046875,0.575514435768127,"1055"
"29","10",1057,8249,12738.798828125,12698.9912109375,0.649579167366028,"1057"
"30","10",1059,12040,22255.9140625,22309.220703125,0.539687156677246,"1059"
"31","10",1061,11758,19916.025390625,19866.91796875,0.591838121414185,"1061"
"32","10",1063,4880,6324.654296875,6328.22607421875,0.771148204803467,"1063"
"33","10",1065,8040,10920.2568359375,10886.216796875,0.738548576831818,"1065"
"34","10",1067,8072,13068.056640625,13080.4814453125,0.617102682590485,"1067"
"35","10",1069,42639,76627.671875,76550.359375,0.557005882263184,"1069"
